1:[-40.0, 72.0]
2:[10.0, 56.0]
4:[-5.347369444444444, 36.141244444444446]
8:[-75.99, 41.18]
9:[179.0, -18.0]
12:[-76.48444444444445, 37.07083333333334]
14:[-64.93333333333334, 18.35]
15:[-88.7, 17.066666666666666]
16:[-96.73166666666667, 43.53638888888889]
19:[33.36666666666667, 35.166666666666664]
20:[32.0, 1.0]
22:[10.0, 8.0]
23:[147.0, -6.0]
24:[38.0, 1.0]
25:[-63.04899, 18.22723]
26:[-100.0, 40.0]
27:[-4.5, 54.25]
28:[-66.5, 18.2]
29:[-61.666666666666664, 12.116666666666667]
32:[-60.96666666666667, 13.883333333333333]
33:[-78.63333333333334, 35.766666666666666]
34:[-77.0, 18.0]
35:[144.8, 13.5]
38:[159.0, -8.0]
39:[178.0, -8.0]
41:[25.0, -30.0]
42:[133.0, -27.0]
43:[-79.23861111111111, 42.095555555555556]
44:[-80.5, 19.5]
46:[-64.5, 18.5]
47:[-9.0, 52.25]
49:[-4.0, 40.0]
50:[25.0, -30.0]
51:[-94.57833333333333, 39.099722222222226]
53:[-159.76666666666668, -21.233333333333334]
54:[-1.05, 7.816666666666666]
55:[-76.0, 24.25]
56:[34.0, -13.5]
57:[-2.3333333333333335, 49.583333333333336]
59:[-83.14277777777778, 42.48888888888889]
62:[70.0, 30.0]
63:[-6.259722222222222, 53.34777777777778]
64:[-59.55, 13.166666666666666]
65:[-64.75, 32.333333333333336]
69:[-81.63333333333334, 38.34722222222222]
70:[-149.9, 61.21666666666667]
71:[-11.5, 8.5]
73:[174.0, -42.0]
75:[139.68333333333334, 35.68333333333333]
76:[-95.0, 60.0]
77:[-58.75, 5.0]
78:[-84.94027777777778, 32.492222222222225]
79:[-16.6, 13.466666666666667]
80:[57.5, -20.2]
81:[-3.0, 55.0]
82:[-98.5, 29.416666666666668]
83:[-59.166666666666664, -51.68333333333333]
84:[-71.01888888888888, 42.083333333333336]
85:[-170.7, -14.3]
86:[-2.11, 49.19]
87:[-77.14833333333334, 39.08361111111111]
89:[-77.01638888888888, 38.90472222222222]
90:[14.5, 35.88333333333333]
91:[-6.783333333333333, 62.0]
107:[-75.1685, 39.9545]
113:[2.3042, 48.8482]
119:[22.0, 39.0]
122:[-74.0059, 40.7127]
123:[-73.77888888888889, 40.63972222222222]
155:[-117.92, 33.81]
166:[13.333333333333334, 47.333333333333336]
171:[16.45, 43.51]
179:[139.695478, 35.563898]
180:[8.333333333333334, 46.833333333333336]
185:[-9.183333333333334, 38.7]
188:[-118.25, 34.05]
189:[-118.40805555555556, 33.942499999999995]
201:[2.0, 47.0]
204:[4.0, 50.833333333333336]
208:[-96.79666666666667, 32.77583333333333]
209:[-97.03805555555556, 32.89694444444444]
213:[20.0, 47.0]
215:[9.0, 51.0]
216:[-73.983368, 40.750877]
220:[-118.323979, 34.155604]
222:[-0.07611111111111112, 51.50805555555556]
223:[-73.93916666666667, 40.89861111111111]
229:[-123.01055555555556, 49.24777777777778]
243:[-99.18722222222223, 19.328888888888887]
250:[12.0, 43.0]
251:[26.0, 64.0]
254:[-122.12833333333333, 47.63972222222222]
261:[6.166666666666667, 49.75]
262:[-122.449732, 37.800694]
263:[-97.33318055555556, 32.757358333333336]
265:[9.183333333333334, 45.46666666666667]
271:[8.0, 61.0]
273:[-121.554, 38.636]
279:[-95.39, 29.86]
284:[-8.0, 53.416666666666664]
287:[16.0, 63.0]
288:[5.55, 52.31666666666667]
